COD_MUNICIPIO;PORCENTAGEM_POPULACAO_MASCULINA;PORCENTAGEM_POPULACAO_FEMININA;PORCENTAGEM_POPULACAO_MENOR_IDADE;PORCENTAGEM_POPULACAO_ADULTA;PORCENTAGEM_POPULACAO_IDOSA;RENDA_PER_CAPITA;PERCENT_AGUA_ENCANADA;IDHM;IDHM_E;IDHM_L;IDHM_R;TX_CASOS_CONFIRMADOS;TX_OBITO;TX_CURA;TX_LEITOS_TOTAL;TX_LEITOS_SUS;TX_LEITOS_NAO_SUS;TX_VACINA_TOTAL_DOSES_APLICADAS;TX_VACINA_DOSE_1;TX_VACINA_DOSE_2;TX_VACINA_DOSE_3;TX_VACINA_DOSE_REFORCO;TX_VACINA_DOSE_REFORCO_1;TX_VACINA_DOSE_REFORCO_2;TX_VACINA_DOSE_REFORCO_3;TX_VACINA_DOSE_ADICIONAL;TX_VACINA_DOSE_UNICA
314510;0,532089508;0,467910492;0,247328334;0,600519573;0,152152093;577,67;73,63;0,671;0,525;0,839;0,687;29,52116668;23,61693334;5,904233335;106,2762;106,2762;0;251024,3845;89638,0705;84778,88646;625,8487335;30306,42971;53,13810002;19448,54461;123,9889;24939,48161;1109,995867
314520;0,524080524;0,475919476;0,321135245;0,623423656;0,055441099;660,48;98,52;0,715;0,597;0,864;0,709;52,66026737;16,62955812;36,03070925;131,1887362;48,04094567;83,14779058;178340,9244;76085,77157;66762,13265;70,21368982;25348,98975;116,4069068;6267,495681;437,911697;716,9187277;2535,083748
314530;0,499377772;0,500622228;0,296722933;0,572353936;0,130923131;271,4;72,51;0,571;0,415;0,797;0,562;70,2000702;3,190912282;57,43642107;114,8728421;111,6819299;3,190912282;220067,6473;75452,31182;71029,70739;599,891509;52382,01602;3,190912282;18162,67271;15,95456141;440,3458949;1981,556527
314560;0,487126968;0,512873032;0,205396909;0,605544573;0,189058518;590,39;96,61;0,699;0,587;0,842;0,691;171,4816491;33,34365399;128,6112368;192,9168552;159,5732012;33,34365399;274837,4497;90463,71496;86493,43845;154,8098221;65015,3619;102,4126515;26522,49506;140,5196847;3105,7232;2838,973968
314590;0,503530582;0,496469418;0,222501243;0,630681253;0,146817504;866,7;93,94;0,764;0,68;0,872;0,753;74,58975634;14,91795127;57,18547986;238,6872203;91,99403282;146,6931875;284477,8717;93692,19294;88739,43312;1598,707111;12175,53456;0;25119,34361;601,6907011;60196,41969;2354,549975
314600;0,50294655;0,49705345;0,197625081;0,597088809;0,20528611;635,38;93,51;0,722;0,622;0,861;0,703;135,5412812;26,51894631;103,1292357;147,3274795;117,8619836;29,4654959;234377,3941;81307,0894;73251,22282;26,51894631;52239,37769;406,6238435;22040,19094;97,23613648;3191,113206;1818,021097
314610;0,485338929;0,514661071;0,221025339;0,619533839;0,159440821;711,77;92,09;0,741;0,677;0,834;0,721;70,83288784;18,71057415;52,1223137;137,6563669;98,89874906;38,75761788;319143,5903;102523,2546;98068,80145;77,51523575;77292,04533;346,1456217;24514,86154;326,098578;10526,03443;5468,833529
314630;0,4915954;0,5084046;0,264966087;0,572446673;0,162587241;261,21;75,73;0,596;0,478;0,797;0,556;24,57485501;19,65988401;4,914971002;196,5988401;186,7688981;9,829942003;176619,4829;70524,9189;61510,86209;63,89462302;31106,85147;196,5988401;9677,577902;393,1976801;1931,583604;1213,997837
314700;0,499391785;0,500608215;0,256476163;0,625858111;0,117665725;640,21;95,16;0,744;0,685;0,854;0,704;170,3000878;27,50187753;137,5093877;304,6361819;94,14104232;210,4951396;230656,1313;85328,8061;77929,74328;246,4591333;46618,85571;34,90622918;14633,11438;244,3436042;2096,48928;3523,413618
314710;0,498839106;0,501160894;0,217066181;0,627907463;0,155026355;686,51;97,97;0,725;0,628;0,848;0,715;39,74230254;24,05455154;15,687751;99,35575636;67,98025435;31,37550201;247095,6744;88159,93139;80889,18173;149,5565596;53506,73527;343,038822;19695,44846;292,8380187;972,6405622;3086,303548
